,OrigInd,Town,Rating,Sentence,cleaned_sentences,noun_phrases,nouns,Topic
978,3853,Arundel,5,"Sunday roast Dropped in for an impromptu Sunday lunch after previous amazing experiences, the owner seated us in the lounge bar area as it was rather busy, however this in no way impacted on our service nor experience.

The roast Lamb rump and seasonal vegetables was without power of any Sunday roast I have had, and the gravy was spectacular!

I cannot say enough for the friendliness and efficiency of service and food enjoyed on the day.

Can not wait to return.",not say enough friendliness efficiency service food enjoyed,friendliness efficiency service food,"['efficiency', 'service', 'food']",Service
979,3855,Arundel,5,"TOTAL CLASS ACT: Cosmopolitan chic in the heart of Arundel We found Butler's after a little wander down Tarrant Street (which is like the really cute street of all the nicest little shops and eateries in the town) and were delighted to find a stunningly decorated, cosmopolitan haunt - which made a wonderful change from some of the more rustic places in the town.

We had drinks and were attentively serviced in really beautiful surroundings. We couldn't get in for dinner as it was fully booked but returned for drinks at the bar and literally whiled away the evening chatting to the gorgeous owner, her family and friends. There was such a buzz about the place - a little piece of Chelsea in Arundel. GORGEOUS and glamorous - the very best in the town.

Will be returning to Arundel to visit Butler's again soon!",total class act cosmopolitan chic heart found butler is little wander tarrant street like really cute street nicest little shop eatery town delighted find stunningly decorated cosmopolitan haunt made wonderful change rustic place town,total class act cosmopolitan,"['class', 'act', 'cosmopolitan']",Service
981,3855,Arundel,5,"TOTAL CLASS ACT: Cosmopolitan chic in the heart of Arundel We found Butler's after a little wander down Tarrant Street (which is like the really cute street of all the nicest little shops and eateries in the town) and were delighted to find a stunningly decorated, cosmopolitan haunt - which made a wonderful change from some of the more rustic places in the town.

We had drinks and were attentively serviced in really beautiful surroundings. We couldn't get in for dinner as it was fully booked but returned for drinks at the bar and literally whiled away the evening chatting to the gorgeous owner, her family and friends. There was such a buzz about the place - a little piece of Chelsea in Arundel. GORGEOUS and glamorous - the very best in the town.

Will be returning to Arundel to visit Butler's again soon!",could not get dinner fully booked returned drink bar literally whiled away evening chatting gorgeous owner family friend,gorgeous owner family friend,"['owner', 'family', 'friend']",StaffGen
984,3857,Arundel,5,"A very pleasant modern restaurant, which is bright and airy Eaten here at lunchtime, which was very good value, with deliciously light dishes, such as salads. Have also been here for a celebratory party in the function room leading to the terrace, which was lovely.",also celebratory party function room leading terrace lovely,celebratory party function room,"['celebratory', 'party', 'function', 'room']",Booking&Table
990,3864,Arundel,3,"Excellent food. But lacking in finesse  Firstly the positives, the food here is excellent- some of the best food we’ve had for a long while.
The restaurant is beautiful and has a great decor with beautiful vine tree draped in fairy lights.

We booked a table at 8:45 - we arrived at 8:30 and had a drink from the bar. We were told that our table would be ready soon. As we were having our drinks the manager came to take our food order, we asked for more time (ideally to order at our actually table), a few moments later another waiter came over to ask for our order - we reluctantly gave him our order but specifically asked him not to rush us. Our table was ready at 9:15 and when we walked over, our starters were sat waiting for us... we do not how long the food was left out (we both had cold starters - gazpacho and terrine). We were not offered a wine menu, or bread which other tables had. We asked to speak to the manager and explained that we specifically asked not to be rushed and we have never had our food waiting for us at the table - especially at a higher end establishment that Butlers portrays itself. She was very lack lustre and left us feeling dejected. She offered us a liqueur to be had at the end of the meal and walked off.

We didn’t wish to have a liqueur and we settled the bill. We left with a customary “bye” from the manager.

Overall excellent food but I feel the management let down their staff who, on the whole, were wonderful. I would hate to think that they would become victim to their own success and forget how fragile the restaurant market can be.",asked speak manager explained specifically asked not rushed never food waiting u table especially higher end establishment butler portrays,end establishment butler portrays,"['end', 'establishment', 'butler', 'portrays']",MealExp
992,3865,Arundel,5,"***OUTSTANDING*** as always Honestly one of the best restaurants in Sussex and isn’t overly pretentious like a couple of the fine dining spots towards Brighton.

Consistently outstanding, excellent value for money, top service, a super friendly team of staff and delightful owners.

Starters, Mains and Desserts are always sublime in taste and presentation and Butlers have got a fantastic selection of gins and rums.

Value for money 10/10
Food 10/10
Drinks 10/10
Service 10/10
Decor/Vibes 10/10
Getting to toilets difficulty 8/10
OVERALL 10/10",value money food drink service decor vibe getting toilet difficulty overall,value money food drink service decor vibe,"['value', 'money', 'food', 'drink', 'service', 'decor', 'vibe']",VFM
997,3872,Arundel,2,"Clearly very cliquey - no gluten free bread! We came here on a Sunday and enjoyed a lovely Sunday roast - really delicious and great roast potatoes.
The only problem was the service received - the restaurant clearly has a lot of loyal customers that are very kissy kissy with the female manager. This is fine and is typically a sign of a good restaurant - however it isn’t great when you are treated differently to them. For example, on arrival we asked for a cock tail menu and were told no cocktails on a Sunday. I have been before just for drinks on a Sunday and enjoyed an espresso martini and also a pornstar martini so was surprised to hear they weren’t available. I then noticed the table next to us had almost empty pornstar martinis (including the Prosecco glass) and the table that arrived after us (kissed the manager) and were given cocktails...
The staff weren’t very attentive even leaving our empty glasses on our table for the duration of the meal, we were practically stacking them at the end. Our plates took ages to clear also.

They don’t have gluten free bread which is quite unacceptable these days with over 1 in 100 people affected by a gluten intolerance or allergy so I watched my husband enjoy his bread whilst I waited for my starter...

I wouldn’t rush back but I did enjoy the food - well done to the kitchen!",example arrival asked cock tail menu told cocktail sunday,cock tail menu,"['cock', 'tail', 'menu']",Menu
1000,3872,Arundel,2,"Clearly very cliquey - no gluten free bread! We came here on a Sunday and enjoyed a lovely Sunday roast - really delicious and great roast potatoes.
The only problem was the service received - the restaurant clearly has a lot of loyal customers that are very kissy kissy with the female manager. This is fine and is typically a sign of a good restaurant - however it isn’t great when you are treated differently to them. For example, on arrival we asked for a cock tail menu and were told no cocktails on a Sunday. I have been before just for drinks on a Sunday and enjoyed an espresso martini and also a pornstar martini so was surprised to hear they weren’t available. I then noticed the table next to us had almost empty pornstar martinis (including the Prosecco glass) and the table that arrived after us (kissed the manager) and were given cocktails...
The staff weren’t very attentive even leaving our empty glasses on our table for the duration of the meal, we were practically stacking them at the end. Our plates took ages to clear also.

They don’t have gluten free bread which is quite unacceptable these days with over 1 in 100 people affected by a gluten intolerance or allergy so I watched my husband enjoy his bread whilst I waited for my starter...

I wouldn’t rush back but I did enjoy the food - well done to the kitchen!",noticed table next u almost empty popstar martini including prosecco glass table arrived u kissed manager given cocktail,prosecco glass table,"['prosecco', 'glass', 'table']",Booking&Table
1002,3875,Arundel,5,"Fillet steak, red wine and service Perfect steak, succulent and medium rare, the wine was called something like Madame Boubla and has a cartoon of Madame on the bottle - it’s not kids stuff! The lady I assume was the owner buzzes about busy, happy and fun.",fillet steak red wine service perfect steak succulent medium rare wine called something like madame double cartoon madame bottle not kid stuff,madame double cartoon madame bottle,"['madame', 'cartoon', 'madame', 'bottle']",Ordering
1009,3885,Arundel,5,"**TOP NOTCH** Another excellent trip to Butlers.

Sublime food, fantastic drinks, attentive superb service and an all round winning experience.

My fillet steak was tender, juicy and D - E - LICIOUS. All accompanying sides also divine.

Desserts, as always, on point.

If you’re into your rum check out the Plantation Pineapple Darin Rum or the Banana rum. Goes excellently with a Diet Coke.

Top tip: if you’ve finished your meal, the weather is warm and fancy another drink head down to their patio terrace out the back. Great spot for a G&T.

Only downside was my Asian mum not being able to handle her drink.... had to go to home for a good sleep poor thing haha.

Food 10/10
Drinks 10/10
Service 10/10
Decor 10/10
Atmosphere 10/10

OVERALL 10/10",top tip finished meal weather warm fancy another drink head patio terrace back,drink head patio terrace,"['head', 'patio', 'terrace']",VFM
1010,3886,Arundel,5,Great food & service A group of eight went to Butlers - service was good from the off - food was excellent over all 3 courses. Staff very courteous and attentive. Would recommend this as a premier venue not only in Arundel but in the surrounding area.,great food service group eight went butler service good food excellent course,great food service group,"['food', 'service', 'group']",Service
1012,3890,Arundel,5,"Top notch first class restaurant  My wife and I went here for a romantic Christmas meal the food was excellent the menu was different to the on line menu.

The website does say a dress code of smart casual for evening meals and I would therefore expect the waitresses to be therefore smart casual not in ripped jeans and jeans practice what you preach

There was a power cut during our meal there was no back up plan on how to take payments from customers as we were reduced to darkness we did expect a bit more customer care maybe a complimentary drink a bit of goodwill goes a long way in this day and age",website say dress code smart casual evening meal would therefore expect waitress therefore smart casual not ripped jean jean practice preach power cut meal back plan take payment customer reduced darkness expect bit customer care maybe complimentary drink bit goodwill go long way age,dress code smart casual evening meal,"['dress', 'code', 'evening', 'meal']",MealExp
1013,3890,Arundel,5,"Top notch first class restaurant  My wife and I went here for a romantic Christmas meal the food was excellent the menu was different to the on line menu.

The website does say a dress code of smart casual for evening meals and I would therefore expect the waitresses to be therefore smart casual not in ripped jeans and jeans practice what you preach

There was a power cut during our meal there was no back up plan on how to take payments from customers as we were reduced to darkness we did expect a bit more customer care maybe a complimentary drink a bit of goodwill goes a long way in this day and age",website say dress code smart casual evening meal would therefore expect waitress therefore smart casual not ripped jean jean practice preach power cut meal back plan take payment customer reduced darkness expect bit customer care maybe complimentary drink bit goodwill go long way age,complimentary drink bit goodwill,"['drink', 'bit', 'goodwill']",Ordering
1014,3891,Arundel,5,"Birthday bash  Tarrant Street can no longer be considered a lesser street in Arundel as Butlers Restaurant has raised the standards. The birthday dinner was arranged by our friends and the evening began as usual.

As we entered the restaurant, Emma greeted us and made us feel most welcome, proposing a clean and well laid table for us. The restaurant was not over crowded and had a comforting atmospheric chatter and buzz.

Our starters were stylishly presented and tasted fresh. The mains reinforced the calibre and quality of our meal and were delicious. Our waitress Brook when asked studiously checked if shell fish had been anywhere near the fish of the day, a delicious Sea Bass.

Not expecting the Sussex power grid giving up on the whole area, sadly we missed pudding. We asked for our bill to be emailed on when Arundel power had been restored and they were most obliging.

I definitely intend returning to Butlers.",birthday bash tarrant street longer considered lesser street butler restaurant raised standard,birthday bash tarrant street,"['birthday', 'bash', 'street']",Service
1015,3891,Arundel,5,"Birthday bash  Tarrant Street can no longer be considered a lesser street in Arundel as Butlers Restaurant has raised the standards. The birthday dinner was arranged by our friends and the evening began as usual.

As we entered the restaurant, Emma greeted us and made us feel most welcome, proposing a clean and well laid table for us. The restaurant was not over crowded and had a comforting atmospheric chatter and buzz.

Our starters were stylishly presented and tasted fresh. The mains reinforced the calibre and quality of our meal and were delicious. Our waitress Brook when asked studiously checked if shell fish had been anywhere near the fish of the day, a delicious Sea Bass.

Not expecting the Sussex power grid giving up on the whole area, sadly we missed pudding. We asked for our bill to be emailed on when Arundel power had been restored and they were most obliging.

I definitely intend returning to Butlers.",not expecting sussex power grid giving whole area sadly missed pudding,sussex power grid,"['sussex', 'power', 'grid']",FoodGen
1022,3904,Arundel,4,"Sunday Lunch with Friends We returned for our second Sunday Lunch and our fourth visit in total to Butlers... service, atmosphere and food as usual was excellent...portions ample for the meat eaters but why oh why do the vegetarian portions have to be so mean. Vegetarians still enjoy creamy dauphinois potatoes and good roast potatoes with all the usual trimmings they also like to feel replete after a good meal like the rest of us.",vegetarian still enjoy creamy dauphin's potato good roast potato usual trimming also like feel replete good meal like rest u,creamy dauphin 's potato good roast potato,"['creamy', 'dauphin', 'potato', 'roast', 'potato']",Choice
1026,3911,Arundel,5,Fabulous lunch and afternoon on the terrace Lovely welcoming staff who had time to chat. We had a really long lunch in the sun. Two course special was great.,fabulous lunch afternoon terrace lovely welcoming staff chat,fabulous lunch afternoon terrace,"['lunch', 'afternoon', 'terrace']",Ordering
1027,3912,Arundel,4,"nice food First meal here, having only been into the bar for drinks, and it is very nice, tables are not too close, menu is not too large, and the food is lovely, the lamb was excellent. Good wine prices, and the house wines are certainly reasonable. We did have a problem with the food but the sorted it immediately and appropriately. Will certainly go back",good wine price house wine certainly reasonable,good wine price house wine,"['wine', 'price', 'house', 'wine']",Choice
1041,3939,Bognor,1,"Man in Restraunt is more interested in counting his tips on the side than serving! Visited this pub for a Sunday dinner as it came highly recommended and was nothing but disappointed when we arrived we were told where the restraunt was walked there and stood like lemons for 10 minutes with another couple and the restraunt was nearly empty then a man showed us a table chucked some paper on the table which was what I guess the only menu it took us a further 15 minutes to find him and get some attention whilst he was counting his tips in the jar on the side and kept saying YES one minute please!!! We then got told if we don’t like the menu go and find the specials board?! Couldn’t see it anywhere and felt uncomfortable so left, the restraunt staff clearly need to learn basic customer service very rude and un professional, I might add the other couple also got up and left!",visited pub sunday dinner came highly recommended nothing disappointed arrived told restraint walked stood like lemon minute another couple restraint nearly empty man showed u table chucked paper table guess menu took u minute find get attention whilst counting tip jar side kept saying yes one minute please,tip jar side,"['tip', 'jar', 'side']",Service
1044,3942,Bognor,4," Evening meal surprise This is a 50 seater restaurant and the entrance is through the bar with a small stepdown to the restaurant. there is a side door which a wheelchair could be allowed in .also an extended special menu on black boards in the bar area .the meals was quite large portions and came with season vegetables .they also have extras portions of vegetables at a cost .various Puddings are on a blackboard which is brought to the table. Coffee is fresh and clean tasting .staff are pleasant and not over bearing and asked if food is ok twice . Food is cooked well. the pie was overdone slightly with burn edges .other dishes was cooked well and flavoursome . The puddings are quite good ,triamasu was heavy in texture with chocolate icecream which was full of ice . The other sweets was s t p with vanilla ice cream and chocolate mousse with sauce with candid nuts . Overall a very pleasant experience .worth a visit .but quite buzzy.so it helps to book .",side door wheelchair could allowed also extended special menu black board bar area the meal quite large portion came season vegetable they also extra portion vegetable cost various pudding blackboard brought table,side door wheelchair,"['side', 'door', 'wheelchair']",StaffGen
1063,3972,Bognor,5,"What A Great Find Called in today for Sunday lunch why we staying locally at Church Farm ( fantastic place ) we sat down and ate in the bar area. What can I say , we had a fantastic meal in a lovely restaurant being served by great staff.
From walking through the door and being greeted on arrival by James ( a fellow Northerner ) and Alice
We were walked through the menu , the roast beef and roast chicken were recommended and didn’t disappoint. The food was amazing.
Both Alice and James were very attentive and knowledgeable about their menu and accompanying drinks also.
Both food and drinks were served in a timely fashion the food and the service was superb.
Chef Fantastic
Food Outstanding
James and Alice Amazing...... we will be back
( try the key lime pie delish :)",food drink served timely fashion food service superb,timely fashion food service superb,"['fashion', 'food', 'service', 'superb']",Service
1066,3977,Bognor,4,"Food still outstanding 15 years go, as a local business man, my colleagues and would freqwuent a couple of times a month. First time back in a long time and was not disappointed. Back then, Steak and Kidney pie was reknowned as best fror 30 miles around AND STILL IS. Thank you. BUT, must you really have Musak at a lunchtime opening in such a delightful country pub? is nowhere sacred from the all pervasive "" public space music""",food still outstanding year go local business man colleague would frequent couple time month,frequent couple time month,"['couple', 'time', 'month']",VisitExp
1069,3979,Bognor,5,"great seafood food and attentive staff We last had a meal at the Lamb some 10 years ago and when visiting the area just popping in on the off chance that we might get some food, it was a Tuesday nearing 3 pm so did not hold out much hope, but we were greeted with a smile by a guy who introduced himself as the new boy James, he moved some tables around and made sure that our party of 7 was seated within the bar area within 10 minutes of arrival. Although the pub was still quite bustle are amazed at the specials board selection being mainly seafood, although several dishes are sold out to keep it simple as we were a bit late in the day for lunch chose just 3 of the 8 dishes on offer, Haddock and Chips, Whole Sea Bass and a Mediterranean Salad. The food arrived within 20 minutes of ordering with the drinks and nibbles to keep us all quiet in the meantime. Everyone in our party commented on the high standard of the presentation and the quality of their food. We would all have no hesitation in recommending the Lamb at Pagham for most probably the best food in West Sussex and with attentive staff who's service was second to none. I do not normally make comments on social media or the like but as for the reasons mentioned above were exceptional I felt that they should have a mention so that others can enjoy the same experience. We certainly will not be leaving it another 10 years to make a return visit to the Lamb !
Simon H",although pub still quite bustle amazed special board selection mainly seafood although several dish sold keep simple bit late lunch chose dish offer haddock chip whole sea bass mediterranean salad,whole sea bass mediterranean salad,"['sea', 'bass', 'mediterranean', 'salad']",FoodPort
1070,3979,Bognor,5,"great seafood food and attentive staff We last had a meal at the Lamb some 10 years ago and when visiting the area just popping in on the off chance that we might get some food, it was a Tuesday nearing 3 pm so did not hold out much hope, but we were greeted with a smile by a guy who introduced himself as the new boy James, he moved some tables around and made sure that our party of 7 was seated within the bar area within 10 minutes of arrival. Although the pub was still quite bustle are amazed at the specials board selection being mainly seafood, although several dishes are sold out to keep it simple as we were a bit late in the day for lunch chose just 3 of the 8 dishes on offer, Haddock and Chips, Whole Sea Bass and a Mediterranean Salad. The food arrived within 20 minutes of ordering with the drinks and nibbles to keep us all quiet in the meantime. Everyone in our party commented on the high standard of the presentation and the quality of their food. We would all have no hesitation in recommending the Lamb at Pagham for most probably the best food in West Sussex and with attentive staff who's service was second to none. I do not normally make comments on social media or the like but as for the reasons mentioned above were exceptional I felt that they should have a mention so that others can enjoy the same experience. We certainly will not be leaving it another 10 years to make a return visit to the Lamb !
Simon H",everyone party commented high standard presentation quality food,high standard presentation quality food,"['standard', 'presentation', 'quality', 'food']",Quality
1074,3983,Bognor,3,"Okay  We had a large party meet for lunch on a busy weekend. Starters were fantastic and came out in a really good time so did the mains, bread with some of the food was dry and the paella quite stodgy. We had to ask to see the pudding menu and get the table cleared after an hour and another hour later they came out. A few minor changes could have made it perfect. Family are local so eat often and said it’s usually very good so would probably go back.",starter fantastic came really good main bread food dry paella quite stodgy,good main bread food dry paella,"['bread', 'food', 'paella']",FoodGen
1077,3989,Bognor,5,"Fantastic food & Service, Very accommodating to dietry requirements I phoned the morning of our visit to enquire as to whether The Lamb Inn were able to cater to vegans as I couldn't find any information on their website, and spoke to a lovely, very helpful lady called Sophie who said the chef would be more than happy to accommodate the two vegan's in our party and she booked us a table for lunchtime.

On arrival we ordered drinks, started a tab with no problems and were shown to our table.
A very kind gentleman went through all the things on the menu that they were able to adapt to a vegan diet and myself and my husband were spoilt for choice, which isn't something that normally happens when visiting small local pubs!
The food was absolutely delicious, by far the best pub food we've had out in a long time. The meat eaters in our group were also blown away by how good everything was.
Service was helpful and quick, food waiting times were good and the food itself was incredible.
We're really looking forward to relocating to this area as The Lamb will be our new local and we can't wait to come back.
Thank you again to all for being so accommodating to our needs, we really appreciate it.",fantastic food service accommodating dietary requirement phoned morning visit enquire whether lamb able cater vegan could not find information website spoke lovely helpful lady called sophie said chef would happy accommodate two vegan is party booked u table lunchtime,morning visit enquire,"['morning', 'visit', 'enquire']",MealExp
1081,3997,Bognor,2,"Front of house lead the way Went for a family meal to the lamb inn. Lovely local pub interior and exterior.

Service was amazing the waitress was lovely and couldn’t be more accommodating.

Food was a slight bit hit and miss, some was lovely and very well cooked. Unfortunately some meals where a little disappointing maybe the chef should of checked the plates before sending them out(no response needed chef).

Nice experience",front house lead way went family meal lamb,family meal lamb,"['family', 'meal', 'lamb']",MealExp
1084,4002,Bognor,5,"Fantastic hosts, excellent service and great food we chose The Lamb Inn purely for convenience to meet with good friends for a meal as it is close to home. What a pleasant surprise we got having visited 2 years ago and not been too impressed.
The hostess for the restaurant and bar food couldn't have been more welcoming and accommodating, even though we arrived late for our booking and moved tables! The barman was equally welcoming.
We enjoyed a good selection of wine and the food was excellent, in fact we needed a doggy bag as the quality was matched by generous quantity.
We hope that the service is as good at peak times. We shall certainly return very soon.",fantastic host excellent service great food chose lamb purely convenience meet good friend meal close home,convenience meet good friend meal,"['convenience', 'meet', 'friend', 'meal']",MealExp
1089,4006,Bognor,3,"Lunch with family and dog  Lovely old pub, been around for years. Remember visiting as a child with my own parents.
Quaint traditional old building. Warm staff. Welcoming to people and dogs.

Menu variety quite good. Quality so-so. Portion size ok for lunch.

2 of us chose ploughman’s. Not your traditional ploughman’s, a bit of variety - Brie (nice slices but with plastic cling film type wrapping in situ and invisible til it was in your mouth!), apricot Stilton and small dry slithers of cheddar. Few crackers. Salad tasty but not really prepared to what looked like chef standard.All balanced on a board which it kept sliding off onto table.
Other 2 chose ham and eggs. Again ok but nothing special. Lacking in presentation but tasty.
The bread served with all dishes had seen better days and was more like sliced bread than chunky fresh bread.

In all, a pleasant enough lunch but certainly not amazing. Price reasonable.",not traditional ploughman bit variety brie nice slice plastic cling film type wrapping situ invisible til mouth,film type wrapping situ invisible til mouth,"['film', 'type', 'situ', 'til', 'mouth']",MealExp
1095,4011,Bognor,1,"Awful sunday roast & rude owner Was visiting my cousin for the weekend so before heading home decided to have lunch so booked the lamb. We were first in restaurant at 12.30 so order taken promptly by lovely girl. On a sunday its a 3 course set menu for £19.50pp. For starters we ordered the fried brie & chicken lollipops. Received within 10 mins. The lollipops were the 2 popcorn sized bites on a bone in breadcrumbs-well overcooked & 2 bites. For mains we ordered roast beef & lamb. The roast potatoes were rock hard you couldnt even cut with knife, the yorkie burnt & the veg had a funny taste & well over cooked. The beef was so fatty, grisly & you couldnt even cut through it so my cousin couldnt eat it so we told the waitress. She apologised & took our plates away, she offered us another dinner but we declined. We were then greeted by the owner who came up to our table placing his hands on it & in an agressive manner said ""i believe you have a problem with your food"". He was unprofessional, rude and basically said there was nothing wrong with potatoes they were crispy, (they were like rocks) the yorkie is how they come (burnt?) & he & the wife checked our plates & nothing wrong. (Would love to see them eat it) My cousin said sorry we beg to differ as she couldnt eat it & his responce was ""ive taken 10% off your bill"" & just walked away!!!! A true professional manager should have apologised,listened to his customers with empathy & should have not of charged us for 1 of the meals as not eaten-a measly £3.20 off total bill & the rudeness was unbelievable. We simply paid & left without desert & £40 down for poor inedible food & bad customer service. Can see a regular trait of this owner reading other reviews-wish we had done our homework before booking. Will never be going back to this pub again sadly & will not be recommending.",awful sunday roast rude owner visiting cousin weekend heading home decided lunch booked lamb,awful sunday roast rude owner,"['roast', 'rude', 'owner']",StaffGen
1096,4011,Bognor,1,"Awful sunday roast & rude owner Was visiting my cousin for the weekend so before heading home decided to have lunch so booked the lamb. We were first in restaurant at 12.30 so order taken promptly by lovely girl. On a sunday its a 3 course set menu for £19.50pp. For starters we ordered the fried brie & chicken lollipops. Received within 10 mins. The lollipops were the 2 popcorn sized bites on a bone in breadcrumbs-well overcooked & 2 bites. For mains we ordered roast beef & lamb. The roast potatoes were rock hard you couldnt even cut with knife, the yorkie burnt & the veg had a funny taste & well over cooked. The beef was so fatty, grisly & you couldnt even cut through it so my cousin couldnt eat it so we told the waitress. She apologised & took our plates away, she offered us another dinner but we declined. We were then greeted by the owner who came up to our table placing his hands on it & in an agressive manner said ""i believe you have a problem with your food"". He was unprofessional, rude and basically said there was nothing wrong with potatoes they were crispy, (they were like rocks) the yorkie is how they come (burnt?) & he & the wife checked our plates & nothing wrong. (Would love to see them eat it) My cousin said sorry we beg to differ as she couldnt eat it & his responce was ""ive taken 10% off your bill"" & just walked away!!!! A true professional manager should have apologised,listened to his customers with empathy & should have not of charged us for 1 of the meals as not eaten-a measly £3.20 off total bill & the rudeness was unbelievable. We simply paid & left without desert & £40 down for poor inedible food & bad customer service. Can see a regular trait of this owner reading other reviews-wish we had done our homework before booking. Will never be going back to this pub again sadly & will not be recommending.",greeted owner came table placing hand agressive manner saidbelieve problem food i,hand agressive manner saidbelieve problem food i,"['hand', 'manner', 'problem', 'food', 'i']",FoodGen
1105,4024,Littlehampton,5,"Fire and drive Had a fantastic week and the fire and drive day from Swanage to Corfe Castle and back was an experience not to be missed especially when it has been in mind most of your life.
The whole week was out of this world and to cap it all our friends took us to the Gravy boat for a meal.
The meal was first class and the restaurant was exquisite and pleasant atmosphere.
The meals were reasonable priced and the location by the river was great as well.
My wife and I had been passed it before whilst in Littlehampton and thought it a little posh as we were looking for somewhere to eat.
How wrong can one be.",whole week world cap friend took u gravy boat meal,u gravy boat meal,"['gravy', 'boat', 'meal']",VisitExp
1109,4032,Littlehampton,5,"Great Place Table of 11 , restraunt full, staff fab,service fab ,food fab.What a busy place i had ribs lovely and the roasts wow ,also Duck , Pizza and Pasta suberb,will def go again.",great place table restraint full staff fab service fab food fab.what busy place rib lovely roast wow also duck pizza pasta superb def go,duck pizza pasta superb def,"['duck', 'pizza', 'pasta', 'superb', 'def']",Choice
1117,4040,Littlehampton,4,"Birthday First time visit , table booked for 8pm had a short wait for a table to become free restaurant full which is always a good sign. The staff very welcoming and friendly , good varied menu of the four of us only two had starters...grilled scallops and chicken pate which delicious..for mains we had ..lamb rump , salmon encrute, chicken burger and all the trimings and I had a veal chop off the specials menu which was cooked perfectly. Finished off with ice cream for all ...again very tasty and refreshing...plus wine and beer plenty of ...total bill came to £130 for the four ....will certainly return and recommend..",staff welcoming friendly good varied menu four u two startersgrilled scallop chicken pate delicious main lamb rump salmon encrusted chicken burger timings veal chop special menu cooked perfectly,main lamb rump salmon,"['lamb', 'rump', 'salmon']",Menu
1123,4048,Littlehampton,5,Birthday meal Lovely food good choice excellent staff friendly and polite. Need to pre book here. Very accommodating for large groups,need pre book,need pre book,"['need', 'pre', 'book']",Booking&Table
1124,4051,Littlehampton,5,Lovely evening meal. We had a nice evening meal here. The staff were attentive and the atmosphere pleasant. The fresh cooked food was very good. Not overpriced. Great Espresso Martinis.,staff attentive atmosphere pleasant,staff attentive atmosphere pleasant,"['staff', 'attentive', 'atmosphere', 'pleasant']",StaffGen
1125,4057,Littlehampton,5,"Outstanding Food Thank you to the girl at the Oyster Pond who recommended this restaurant to us for lunch other wise we would have missed this experience.
Had the sea food platter as a main course and was not disappointed. The muscles in a creamy source with plenty of bread to share was lovely. The calamari and tempora prawns were crispy and golden and the sweat chilli source complimented this dish. Possibly a little too much batter served on this platter, I would personally ask for the prawns without batter next time. Others in our group had the Thai salmon and prawn curry and were full of compliments. The children’s menu was ideal for our two boys and the table mat activities kept them entertained.
The food was delicious and we could not fault it.
We had recently returned from Italy and were pleased to find this high standard of food served locally.
Thank you.",others group thai salmon prawn curry full compliment,others group thai salmon prawn curry,"['others', 'group', 'prawn', 'curry']",VisitExp
1128,4064,Littlehampton,5,"Dad and daughter lunch date Came here with my dad just after opening at 11 and both had Thai mussels and chips.

Even on a Tuesday lunch time it gets busy fast so best to book if you want to go upstairs. But downstairs was fine.

Lovely as always but will have to come back as my other half is very jealous. :-) see you all again soon!!",dad daughter lunch date came dad opening thai mussel chip,dad daughter lunch date,"['dad', 'daughter', 'lunch', 'date']",VFM
1133,4070,Littlehampton,5,"Friendly service and good food We visited with my elderly mother, who is in a wheelchair. We were shown to a table where it was easy to put the wheelchair, although she moved into a chair. She doesn’t have a large appetite so the carvery was ideal for her with ham and turkey. My husband’s garlic allergy was well catered for and we enjoyed our fish and chips. The service was excellent.",husband garlic allergy well catered enjoyed fish chip,husband garlic allergy,"['husband', 'garlic', 'allergy']",Choice
1134,4071,Littlehampton,4,"Gravy is not mandatory! Great location, tidy ambience, friendly staff. Didn’t go for the Carvery this time but plenty of choice on the menu and some unusual dishes. Tasty starters and mains and a nice but cold pint of local brew. Good price too. Comfy...",not go carvery plenty choice menu unusual dish,carvery plenty choice menu,"['carvery', 'plenty', 'choice', 'menu']",Choice
1136,4075,Littlehampton,5,"First Class! What an absolute pleasure to eat at this restaurant. My wife and I along with my sister and her husband celebrated my sisters birthday here and the cuisine and service is exemplary! We were fortunate to book the window table which offers great views over the river. Highly recommended and of course, we are looking forward to a return visit in the future.",fortunate book window table offer great view river,fortunate book window table,"['book', 'window', 'table']",Booking&Table
1139,4077,Littlehampton,5,"Fabulous Find We had driven into Littlehampton to try and find a restaurant for dinner on a weekend break away with the kids. A simple google search (amongst others) bought up this gem. It is a modern, comfortable and attractive place with the kitchen open at the far end with the carvery options.

The garlic bread/olives were excellent, lovely texture and flavour.

Mains were fish & chips/chicken burger/fillet steak/carvery/kids meal. All were superb, the steak was perfect and beautifully presented. The carvery I was particularly impressed with, as it can't be easy keeping food hot and not drying out when not everyone is eating it. But it was hot, and the meat was lovely and generous serving.

Everything was really well priced and compared to a Harvester or such, this was far superior.

Service was also excellent. We were served quickly and nothing was too much trouble.

All in all, I wish this lovely eatery was nearer where we live, but we will certainly come again.",main fish chip chicken burger fillet steak carvery kid meal,main fish chip chicken burger fillet steak carvery kid meal,"['chip', 'chicken', 'burger', 'fillet', 'carvery', 'kid', 'meal']",MealExp
1146,4083,Littlehampton,4,"Decent carvery in Littlehampton Went along with a big group, around 12, including 3 kids for a Sunday carvery. Good service, very nice starters, decent carvery and nice puddings. No complaints from anyone and the price wasn't bad either.

We will certainly visit again.",decent carvery went along big group around including kid sunday carvery,kid sunday carvery,"['kid', 'sunday', 'carvery']",Menu
