,OrigInd,Town,Rating,Sentence,cleaned,noun_phrases,nouns,Topic
198,9407,Arundel,5,"Archery, Falconry and Stunning Tulips! On a fabulously warm sunny Easter Monday along with our two teenage grand-sons we visited Arundel castle and gardens, to see the mediaeval re-enactments and the tulip display. We were not disappointed, the tulips were magnificent, the falcons fascinating and the knights and archers splendid in mediaeval dress or chain mail. Add to all that, the amazing interior and history of Arundel castle itself and you have a winning formula for a grand day out, hard to best!
Read less",not disappointed tulip magnificent falcon fascinating knight archer splendid mediaeval dress chain mail,splendid mediaeval dress chain,"['mediaeval', 'dress', 'chain']",VFM
200,9409,Arundel,5,"Stunning example There can't be many castles as impressive as this especially if you are coming from littlehampton down the hill into the town of Arundel.
Purchased gold plus tickets online so able to jump the long queue and go to the prepaid window.
If you into history its worth paying the extra to visit the bedrooms and living accommodation.
Gardens were in full tulip bloom. Not a horticulturist so would have been useful to sign the trees and age as some must date back 100s of years.
Jousting, birds of prey and ware stalls present this weekend. Fascinated by the guy making the chain armour. Each vest takes 1000 man hrs and has about 10000 links. Knowledge of their trade was very impressive.
Every person we came across even in the cafe and restaurant were professional, polite and seemed to enjoy their roles.

Definitely worth a full day out here. Bring a picnic as plenty of grassed areas to sit and eat.
Read less",not horticulturist would useful sign tree age must date back year,useful sign tree age,"['sign', 'tree', 'age']",FamilyExp
219,9430,Arundel,5,"Come for the castle, fall in love with the gardens The castle is spectacular. Different portions of the building are from different eras, so you see cramped medieval function to Victorian luxury. The castle is still used partially as a family home, so it has less feeling of cold preservation than other museum status historical properties. The guides, and even the grounds-people, were exceptionally friendly and willing to chat. It felt that they wanted to be there, and they were personally invested in wanting you to have the best possible experience.
However, despite the diverse and impressive architecture and features of the castle, the gardens really stole the show. The gardeners mentioned that the different plants bloom at various times, so that there is always something to see, and the landscape will evolve throughout the year. The tulips were extraordinary, but I would love to come back for the roses.
Finally, a trip for lunch to the adjacent town was an added bonus. The locals were also friendly, and quaint bookshops, antique stores, and mix of eateries completed the experience.
Read less",finally trip lunch adjacent town added bonus,trip lunch adjacent town,"['trip', 'lunch', 'town']",Walking
220,9430,Arundel,5,"Come for the castle, fall in love with the gardens The castle is spectacular. Different portions of the building are from different eras, so you see cramped medieval function to Victorian luxury. The castle is still used partially as a family home, so it has less feeling of cold preservation than other museum status historical properties. The guides, and even the grounds-people, were exceptionally friendly and willing to chat. It felt that they wanted to be there, and they were personally invested in wanting you to have the best possible experience.
However, despite the diverse and impressive architecture and features of the castle, the gardens really stole the show. The gardeners mentioned that the different plants bloom at various times, so that there is always something to see, and the landscape will evolve throughout the year. The tulips were extraordinary, but I would love to come back for the roses.
Finally, a trip for lunch to the adjacent town was an added bonus. The locals were also friendly, and quaint bookshops, antique stores, and mix of eateries completed the experience.
Read less",local also friendly quaint bookshop antique store mix eatery completed experience,friendly quaint bookshop antique store mix eatery,"['quaint', 'bookshop', 'antique', 'store', 'mix', 'eatery']",Shop&Amenties
223,9436,Arundel,5,"Absolutely beautiful!  Amazing! Beautiful castle! Felt like stepping back in time being able to walk around a castle that's still in use today and Duke of Norfolk living there in winter.
The castle gardens another wonder that can't be missed!
Highly recommend paying the extra few pounds for the gold plus pass to see everything.
We gave ourselves 3 hours but really needed longer, this was partly due to the wait in the castle cafe queue, that would e the only thing that needs improvement, the staff amazing and were totally rushed off their feet, but there is definitely a flaw in the system somewhere at the cafe as the queue was hardly moving. I'd say we lost a good hour here.
But I haven't let that effect my review rating because the castle is amazing and I'm planning on visiting again soon with my son, he'll love it!
Read less",gave hour really needed longer partly due wait cafe queue would e thing need improvement staff amazing totally rushed foot definitely flaw system somewhere cafe queue hardly moving,e thing need improvement staff,"['thing', 'need', 'improvement', 'staff']",Staff
226,9439,Arundel,5,"Tulip Festival This Festival is a must. We could not believe that this number of variations of tulips existed. It was a sight to behold. The gardens are so well kept and cover a large area. The majority of tulips are within the walled gardens and are magnificent. We thought that the visit was good value for money. We did not go into the castle but enjoyed a coffee in the restaurant. Although the gardens are some way from the entrance transport is available for the less mobile. A most enjoyable day.
Read less",although garden way entrance transport availablemobile,garden way entrance transport availablemobile,"['way', 'entrance', 'transport', 'availablemobile']",Parking
237,9452,Arundel,5,"Castle gardens truly breathtaking The Castle gardens are absolutely amazing. A feast of colour and so beautiful it takes your breath away. The gardeners are doing a superb job. They are happy to chat and share the beauty of their gardens. The tulips in particular are fantastic but the whole garden is such a wonderful place to stroll round as well as sit in and soak up the atmosphere.
Read less",tulip particular fantastic whole garden wonderful place stroll round well sit soak atmosphere,wonderful place stroll round,"['place', 'stroll', 'round']",Place
248,9474,Arundel,4,"Wildlife and wetland centre Been going to birdwatcher for a number of years and it improves every time I go. God selection of hides with useful pictures of birds for identification. Electric boats on the lakes for siting water voles excellent restaurant and shop. Staff very
Helpful. Large car park
Read less",wildlife wetland centre going birdwatcher number year improves every go,wildlife wetland centre,"['wildlife', 'wetland', 'centre']",Kids&PlayArea
249,9474,Arundel,4,"Wildlife and wetland centre Been going to birdwatcher for a number of years and it improves every time I go. God selection of hides with useful pictures of birds for identification. Electric boats on the lakes for siting water voles excellent restaurant and shop. Staff very
Helpful. Large car park
Read less",god selection hide useful picture bird identification,god selection hide,"['god', 'selection', 'hide']",Food
250,9476,Arundel,5,"Very child friendly staff, with a wealth of knowledge. An ideal educational day out for children, any time of the year. Planed activities for children during summer breaks, and a host of activities for adults that love wildlife throughout the year. Bats, Moths, Wildflowers & Medicinal plants. A great well planed Lego activity was available to children this August, where children had to follow instructions to build projects including a vehicle with wheels, to see who's vehicle rolled the furthest. They could also follow a map with bird statues made of lego. Children get to see woodland birds, pond life, bugs, and a vast range of wildfowl. There is an excellent restaurant overlooking the lake, the available cuisine, caters for a range of food requirements, even allowing parents to provide their own picnics should your child require a special diet. Other activities include play areas for different age groups, and education boat ride in a quiet electric boat.
Read less",planed activity child summer break host activity adult love wildlife throughout,activity child summer,"['activity', 'child', 'summer']",FamilyExp
261,9483,Arundel,5,"A haven in Arundel What a great find. If you and your family appreciate wild life and the outdoors you will want to visit this haven in Arundel. A great attraction is the boat ride through the reeds with the driver of the electric powered boat acting as a most informative guide. There are many birds to view including various ducks. Also a butterfly area. When we visited there was a delightful trail for children to spot various models of wildlife clever,y made out of Lego. So much to see in a quiet setting.
Read less",visited delightful trail child spot various model wildlife clever made lego,delightful trail child spot,"['trail', 'child', 'spot']",FamilyExp
264,9485,Arundel,5,"So much to do and see!  My 6 year old son and I spent over 5 hours here. We followed the awesome Lego Animal trail which meant we covered the entire (huge) area with great excitement, following our maps. We had the river boat safari to ourselves with the very knowledgeable captain. We explored the pond dipping, the 2 fantastic play areas, the wildlife garden, the reedbed boardwalk (our fav) ... the list goes on! Great value day out with so much to see... lots to learn and discover outside in amongst nature. We took a picnic, and the cafe was great too when we stopped for ice creams (vegan ice cream options for me! ) overlooking the water area. Easy free ample parking.
Read less",followed awesome lego animal trail meant covered entire huge area great excitement following map,awesome lego animal trail,"['lego', 'animal', 'trail']",Kids&PlayArea
266,9486,Arundel,1,"Wet, wetlands. Called in to view visitors center in pouring rain. Asked if we could go into cafe and was informed it would cost us £50 membership to enable this. Returned to rain and watched birds from car park. Lady who was being served informed us she had been allowed in without being a member. Suggest two month retraining course.
Read less",called view visitor center pouring rain,view visitor center,"['view', 'visitor', 'center']",BeachFac
270,9491,Arundel,5,"Wildfowl haven and education centre This is a family attraction with excellent access on the level and a range of activities for children. Native and exotic wildfowl can be seen at close quarters, including from hides which illustrate the species that may be spotted. The boat ride through the reed beds helps to inform about the conservation work of Sir Peter Scott's legacy.
Read less",wildfowl education centre family attraction excellent access level range activity child,wildfowl education centre family attraction,"['wildfowl', 'education', 'family', 'attraction']",FamilyExp
272,9496,Arundel,4,"Great visit We got there late in the day and found we still had to pay full price with no chance of getting around unless we kept moving, so for that experience I would say it was expensive; they should have reduced the entry fee for late comers. In saying that we were in the area for a couple of days and thought of returning the next day, also making a visit to other WWT centres another time. So we bought annual tickets which if you intend to use is well worth it. We also came the next day and really enjoyed the whole experience. We will definitely be making use of our annual pass
Read less",saying area couple day thought returning next also making visit wet centre another,area couple day,"['area', 'couple', 'day']",Kids&PlayArea
280,9506,Arundel,5,"A Great Day Out for Adults and Children Alike A superb experience for all ages. The staff are very dedicated, informative and helpful. The birds and other animals look well cared for and not too afraid of human presence. On one occasion, we were sat on a bench when two adult geese walked up to us with their 7 goslings, showing them off, and probably hoping for some food too. The adults or children, certainly weren't frightened of humans or aggressive towards us. The visitor centre, cafeteria and gift shop were all very clean, tidy, airy and inviting. A truly enjoyable, rewarding experience close to nature.
Read less",visitor centre cafeteria gift shop clean tidy airy inviting,visitor centre cafeteria gift shop,"['visitor', 'centre', 'cafeteria', 'gift', 'shop']",Shop&Amenties
282,9508,Arundel,4,"A spectacular collection of wildfowl species in a unqiue natural setting A lifelong bird engthusiast, I visited this wetland centre for the first time 20 years ago. I visited again last year with my wife, and then again last weekend. In its mode of operation, the place is halfway between zoo and a natural nature reserve. It still holds its magic for me as a place to observe wildlife and educate children. It is a spectacular collection of wildfowl species in a unqiue natural wetlands setting. This time of year is very special. The geese, ducks and swans are breeding and there are already many newly-hatched goslings and ducklings around, in addition to nesting gulls. Unfortunately, there are also predators. We observed a grey heron in action attempting to swoop and raid nexts of their eggs or chicks, and a volley of gulls rise to aiur to drive him away like fighter planes in a dog fight. Quite a sight. Their small boat tour is also a good way to see the wetland topography and perhaps some kingfishers and warblers.
Read less",spectacular collection wildfowl specie unique natural setting lifelong bird enthusiast visited wetland centre first year ago,unique natural setting lifelong bird enthusiast,"['setting', 'bird', 'enthusiast']",FamilyExp
284,9508,Arundel,4,"A spectacular collection of wildfowl species in a unqiue natural setting A lifelong bird engthusiast, I visited this wetland centre for the first time 20 years ago. I visited again last year with my wife, and then again last weekend. In its mode of operation, the place is halfway between zoo and a natural nature reserve. It still holds its magic for me as a place to observe wildlife and educate children. It is a spectacular collection of wildfowl species in a unqiue natural wetlands setting. This time of year is very special. The geese, ducks and swans are breeding and there are already many newly-hatched goslings and ducklings around, in addition to nesting gulls. Unfortunately, there are also predators. We observed a grey heron in action attempting to swoop and raid nexts of their eggs or chicks, and a volley of gulls rise to aiur to drive him away like fighter planes in a dog fight. Quite a sight. Their small boat tour is also a good way to see the wetland topography and perhaps some kingfishers and warblers.
Read less",spectacular collection wildfowl specie unique natural wetland setting,spectacular collection wildfowl specie,"['collection', 'wildfowl', 'specie']",Walking
290,9514,Arundel,4,"Great for the kids and adults alike Nice day out with the family...4 generations of us and it was suitable for all...this would be great for all abilities as everything has been provided. Easy access for most things, even the boat ride. Loads to see and do, especially for the kids which is much needed...maybe more picnic areas as we struggled to find some that weren't around the play areas...more bins dotted around would be good too... lovely clean cafe. Price not too bad but don't mind paying for this type of attraction as it's a good cause. We went over the Easter holidays and did the duck hunt, which was too confusing for younger kids and too long winded.
Read less",great kid adult alike nice family generation u suitable allthis would great ability everything provided,nice family generation u,"['family', 'generation', 'u']",FamilyExp
292,9515,Arundel,5,"Easter duck hunt Kids enjoyed this trip. Lots of waterfowl to see and look at. Pushchair accessible and the added bonus of a duck hunt which was actually quite hard and needed adult help for my two. Possibly was more of a challenge for us than our two.
Some nice cake at the end to finish off a nice day.
Read less",pushchair accessible added bonus duck hunt actually quite hard needed adult help two,bonus duck hunt,"['bonus', 'duck', 'hunt']",Food
293,9517,Arundel,5,"It's home from home Revisit again and again with the array of beautiful wild bird life from around the world, play areas and educational retreat spaces for the Hardy enthusiastic watchers. Warm welcomings feeding areas, lovely little gift shop and boat tours it has everything for a family to enjoy including the admission. We will continue to come back.
Read less",home home revisit array beautiful wild bird life around world play area educational retreat space hardy enthusiastic watcher,world play area,"['world', 'play', 'area']",Kids&PlayArea
294,9520,Arundel,5,"Delightful visit We walked along the riverbank up to the Wetland Centre and spent a few hours admiring the ducks, geese and swans. We even saw a water vole. The centre was beautifully maintained and had very useful information boards everywhere which meant you learned as you wandered!!
We had delicious soup in the small cafe and a slice of fabulous chocolate orange cake as a treat which fortified us for more exploring and a gentle ride on the electric boat through the reed beds..
A very enjoyable visit.
Read less",delightful visit walked along riverbank wetland centre spent hour admiring duck goose swan,duck goose swan,"['duck', 'goose', 'swan']",Food
296,9522,Arundel,3,"Good Family Day Out We visited the Wetland Centre with my wife, son and his grandparents for a day out. the weather was overcast and it is all mainly outside.

it was expensive to get in for what it was, A few areas could do with a touch up like the children's play area and the boats are falling apart (another 1 pound suggested donation but sponsored by companies). Overall the place could do with a good spruce up and

The variety of birds was really good and my son loved seeing them. The staff were very knowledgeable and friendly.

The cake and coffee were nice and the setting of the seating area was good.

Overall it is an expensive day out but children will love it.
Read less",good family visited wetland centre wife son grandparent,wetland centre wife son grandparent,"['wetland', 'centre', 'wife', 'son', 'grandparent']",Staff
297,9523,Arundel,4,"A great winter day out I am a birdwatcher and generally like to go out to different habitats and find birds for myself. However, once in a while its nice to pay the entrance fee and walk round a specialist reserve for wildfowl. Ducks are in their most splendid plumage and many were actively displaying. A great collection of wildfowl from all over the world and as an added bonus some wild birds too. We saw Water Rail, Teal, Snipe, Chiffchaff, Little Egret and others. Hides and boardwalks all on the flat. Refreshment in their restaurant. Limited choice but my curry was excellent and my wife's baked potato was more than ample - and reasonably priced. Well worth it.
Read less",great collection wildfowl world added bonus wild bird,great collection wildfowl world,"['collection', 'wildfowl', 'world']",Gardens&Grounds
301,9526,Arundel,5,"Fabulous place for a peaceful and educational day out. A truly magical setting by the river Arun. Superbly designed buildings and child friendly walk ways past the many ponds, through the rushes and trees. The boat trip is not to be missed. You may even spot a kingfisher. Lots of wildlife and different species of wildfowl. Excellently run by friendly and knowledgeable staff. Great shop for an interesting present for a little one. My 2 year old grandson was in heaven. Even a decent cafeteria for simple meals.
Read less",superbly designed building child friendly walk way past many pond rush tree,pond rush tree,"['pond', 'rush', 'tree']",Kids&PlayArea
303,9527,Arundel,5,"Great winter wetlands visit We visited here 3 years ago in the spring & it was lovely for the children to see up close the crustaceans & other life in the water. This time there was thin ice on the water & the water birds were the main attraction; a vast array of beatiful water birds from around the world delighted with all their fabulous colours. the boat trip around the centre was fascinating & delivered with such passion that we all loved it.very much recommended.
Read less",thin ice water water bird main attraction vast array beatiful water bird around world delighted fabulous colour,vast array beatiful water bird,"['array', 'water', 'bird']",FamilyExp
304,9528,Arundel,5,"A Delightful Visit We are very keen birdwatchers and we visited on a sunny winter's day. Plenty of car parking and then we enjoyed a cup of coffee sitting overlooking a lake with plenty of wildfowl to watch - for anyone of limited mobility then actually there would be no need to move very far from this spot! We had a good walk around the reserve and visited all of the hides, plenty to see and easy to get good views. We saw several Snipe, amazingly camouflaged in the reeds, a Water Rail right in the open plus Teal, Shelduck, Lapwings, Pochard, Shoveller, a Bullfinch, Chiffchaff and many more. These were all wild birds. Returning to the Visitor Centre for lunch we enjoyed toasted ciabattas and watched a most obliging Kingfisher on the lake. Later we walked around looking at the more exotic waterfowl from different parts of the world, fascinating a beautiful. It's worth booking on line in advance to take advantage of the reduced rate. Altogether an excellent day!
Read less",delightful visit keen birdwatcher visited sunny winter is,delightful visit keen birdwatcher,"['visit', 'keen', 'birdwatcher']",VisitExp
309,9534,Arundel,5,"interesting wildlife Visited during my vacation. It rained for a few minutes but there was a shack on the trail for shelter.
Read less",rained minute shack trail shelter,minute shack trail shelter,"['shack', 'trail', 'shelter']",Kids&PlayArea
315,9541,Bognor,5,"Loved this cinema We took our two children to see Abominable ,like the other reviewers we found the front of house very friendly and professional . Seats were more comfortable than the West End , the ticket prices were very reasonable and the snacks were cheap compared to other local cinemas . Don't feel over to Chichester and Portsmouth ,support your local cinema , you will not be disappointed . We were very pleased with the cosy atmosphere and the kind staff.
Read less",seat comfortable west end ticket price reasonable snack cheap compared local cinema,end ticket price,"['end', 'ticket', 'price']",FamilyExp
317,9548,Bognor,5,"Great local cinema Very good cinema , good prices, friendly staff , good snacks and wine ! Has all the latest films and is local and should be supported .
Read less",great local cinema good cinema good price friendly staff good snack wine,friendly staff good snack wine,"['staff', 'snack', 'wine']",Staff
318,9549,Bognor,5,"Great cinema Great place and great prices with a lovely feel.
Always has the latest films

Staff are friendly and has a good selection of snacks and drinks.
Read less",always latest film staff friendly good selection snack drink,friendly good selection snack drink,"['selection', 'snack', 'drink']",Food
323,9561,Bognor,4,"Great value for money  Me and my girlfriend regularly come here for movies and would definitely recommend coming here because of its amazing prices and The new cinema open is very luxurious, large and very similar to Cineworld which is almost triple the price! it’s also very family friendly and has great food choices. The cinema screens are of satisfactory size

PRICE: £3.50 PER PERSON!
Read less",great value money girlfriend regularly come movie would definitely recommend coming amazing price new cinema open luxurious large similar cineworld almost triple price,great value money girlfriend,"['value', 'money', 'girlfriend']",VFM
324,9562,Bognor,4,"Always come here Old school theatre style cinema, it really feels like you’ve gone back in time!

Super cheap too, £4.50 on a weekend and £3.50 a weekday, snacks and drinks are fairly cheap too, much cheaper than the likes of Odeon, Cineworld, Vue etc
Read less",always come old school theatre style cinema really feel like gone back,old school theatre style cinema,"['school', 'theatre', 'style', 'cinema']",VFM
325,9565,Bognor,5,"Nice old fashion cinema This is my local cinema I am a oap so going to the larger one’s and also getting there can be expensive for me here it is a lot cheaper there is a public car park 2 minutes away which by the way if you go into many shops in Bognor for £2 unless it has been raised a £1 you can buy a season ticket for a year and you can stay in various car parks for 2hrs you get your money’s worth after one visit we have some great films shown here
Read less",nice old fashion cinema local cinema map going larger one also getting expensive cheaper public car park minute away way go many shop unless raised buy season ticket stay various car park get money worth one visit great film shown le,season ticket stay,"['season', 'ticket', 'stay']",FamilyExp
327,9566,Bognor,5,"Excellent! Brilliant visit to Picturedrome. Everything was easy, booked online, very good value, seats very comfortable and toilets modern and clean. Recommend!
Read less",everything easy booked online good value seat comfortable toilet modern clean,online good value seat,"['online', 'value', 'seat']",VFM
329,9579,Bognor,5,"Cinema Love this place, friendly staff, affordable prices in a historic old building. The Picturedrome now has a new screen which rivals all the big cinemas but at a fraction of the cost. Well worth a visit.
Read less",picturedrome new screen rival big cinema fraction cost,rival big cinema fraction cost,"['cinema', 'fraction', 'cost']",VFM
330,9581,Bognor,5,"Affordable family trip to the cinema Lovely traditional cinema, tickets are reasonably priced, snacks are reasonably priced. What's not to love?!
Read less",affordable family trip cinema lovely traditional cinema ticket reasonably priced snack reasonably priced,affordable family trip cinema,"['family', 'trip', 'cinema']",FamilyExp
333,9585,Bognor,5,"Cinema with old fashioned charm & character The Picturedrome Cinema at Bognor Regis is an old Victorian Cinema that has charm and character. Recently refurbished and now boasting 4 Screens. Brilliant choice and variety of films. Staff are always friendly and helpful. Our family have been regulars at this venue for over 40 years. Our grandchildren love this quaint cinema and we all appreciate the economical ticket prices making a 'film outing' an affordable treat. We hope this beautiful building will continue to be the heart of Bognor.
Read less",cinema old fashioned charm character picturedrome cinema old victorian cinema charm character,old victorian cinema charm character,"['cinema', 'charm', 'character']",VFM
336,9604,Arundel,4,"The Dowry Exhibition Arundel Cathedral is always worthy of a visit, but a few days ago it hosted 'The Dowry Exhibition.'
Over the last 2 years, the renowned Statue of Our Lady of Walsingham has been visiting every Catholic Cathedral in England with a mission to pray for the Re-evangelisation and Conversion of England.
On the 1st January 2020, on the Feast of Mary, Mother of God, a formal public announcement will be made by the Bishops of England and Wales regarding the re-dedication of England as the Dowry of Mary.
From 28th - 30 November the statue of our Lady of Walsingham left the Slipper Chapel to tour around the country.
A 3 day programme including Mass,a talk on England as the Dowry of Mary by Mgr John Armitage, rosary of Intercession & Litany of the English Saints and Martyrs has taken place in Arundel cathedral, as well as the shrine and dowry exhibition itself.

Is the original statue of our Lady of Walsingham still with us? The Reformation saw many many statues, pictures etc, taken from the churches to London and burned. However, we learned from the talk that some people, did in fact take some Marian images and substitute them,
In the Albert & Victoria Museum in London , a damaged 13th-century English statue of the Madonna and Child, known as the ‘Langham Madonna’ can be found. It was reported in 1931 that in an old house near Walsingham, an old wooden carved figure, apparently of the 12th century was discovered bearing a remarkable image to that of our Lady of Walsingham?
The Cathedral had an exciting 3 days with lots of visitors.
Read less",january feast mary mother god formal public announcement made bishop england wale regarding rededication england dowry mary,rededication england dowry mary,"['rededication', 'england', 'dowry', 'mary']",FamilyExp
337,9604,Arundel,4,"The Dowry Exhibition Arundel Cathedral is always worthy of a visit, but a few days ago it hosted 'The Dowry Exhibition.'
Over the last 2 years, the renowned Statue of Our Lady of Walsingham has been visiting every Catholic Cathedral in England with a mission to pray for the Re-evangelisation and Conversion of England.
On the 1st January 2020, on the Feast of Mary, Mother of God, a formal public announcement will be made by the Bishops of England and Wales regarding the re-dedication of England as the Dowry of Mary.
From 28th - 30 November the statue of our Lady of Walsingham left the Slipper Chapel to tour around the country.
A 3 day programme including Mass,a talk on England as the Dowry of Mary by Mgr John Armitage, rosary of Intercession & Litany of the English Saints and Martyrs has taken place in Arundel cathedral, as well as the shrine and dowry exhibition itself.

Is the original statue of our Lady of Walsingham still with us? The Reformation saw many many statues, pictures etc, taken from the churches to London and burned. However, we learned from the talk that some people, did in fact take some Marian images and substitute them,
In the Albert & Victoria Museum in London , a damaged 13th-century English statue of the Madonna and Child, known as the ‘Langham Madonna’ can be found. It was reported in 1931 that in an old house near Walsingham, an old wooden carved figure, apparently of the 12th century was discovered bearing a remarkable image to that of our Lady of Walsingham?
The Cathedral had an exciting 3 days with lots of visitors.
Read less",original statue lady walsingham still u,original statue lady walsingham,"['statue', 'lady', 'walsingham']",Shop&Amenties
347,9627,Arundel,4,"Quaint cathedral I just read a review that says the ‘cathedral is small!’. What do you expect! Arundel is not a city, just a quite small town so you cannot expect to find a huge cathedral. Overall, the cathedral is an interesting place to visit whilst visiting Arundel. There is also a nice chapel within the castle grounds
Read less",overall cathedral interesting place visit whilst visiting,interesting place visit whilst,"['place', 'visit', 'whilst']",Place
349,9638,Arundel,5,"Beautiful Cathedral The is Cathedral is enormous. Sadly we visited in Lent so did not see the statues, but I imagine they are lovely, so will have to visit again.. The stained glass windows are superb and luckily the sun was shining when we were there so they were beautiful
Read less",stained glass window superb luckily sun shining beautiful le,glass window superb,"['glass', 'window', 'superb']",Gardens&Grounds
352,9644,Arundel,4,"Etheral I wasn't sure exactly what to expect from the Cathedral, but I wasn't disappointed. Despite the main window undergoing some maintenance, the rest of the cathedral is still viewable, and it is an incredible sight! So huge and stoic, the building has a real presence to it.
It relies entirely on donations for upkeep, so I hope plenty of people donate, as it would be nice to see some neat and modern information boards put up in place of the current pin boards. I donated what I could and lit a small candle too.
The gift shop is a nifty little area and the lady there on the day was pleasant to talk to. There wasn't anything I typically buy as a tourist in there, but I think a small magnet based on the main window would be a good idea, miniature stained glass maybe?
I would definitely recommend to anyone visiting Arundel!
Read less",relies entirely donation upkeep hope plenty people donate would nice see neat modern information board put place current pin board,donation upkeep hope plenty people donate,"['donation', 'hope', 'plenty', 'people']",Kids&PlayArea
353,9644,Arundel,4,"Etheral I wasn't sure exactly what to expect from the Cathedral, but I wasn't disappointed. Despite the main window undergoing some maintenance, the rest of the cathedral is still viewable, and it is an incredible sight! So huge and stoic, the building has a real presence to it.
It relies entirely on donations for upkeep, so I hope plenty of people donate, as it would be nice to see some neat and modern information boards put up in place of the current pin boards. I donated what I could and lit a small candle too.
The gift shop is a nifty little area and the lady there on the day was pleasant to talk to. There wasn't anything I typically buy as a tourist in there, but I think a small magnet based on the main window would be a good idea, miniature stained glass maybe?
I would definitely recommend to anyone visiting Arundel!
Read less",gift shop nifty little area lady pleasant talk,area lady pleasant talk,"['area', 'lady', 'talk']",Kids&PlayArea
355,9651,Littlehampton,4,"Fun for Children Our grandchildren enjoyed visiting Harbour Park with the Helier Skelter their favourite ride. It is by the sea so they can have a swim or paddle as well. Parking can be busy but plenty of places, and then fish and chips too!
Read less",fun child grandchild enjoyed visiting harbour park helper skelter favourite ride,harbour park helper skelter favourite,"['harbour', 'park', 'helper', 'skelter', 'favourite']",Parking
356,9651,Littlehampton,4,"Fun for Children Our grandchildren enjoyed visiting Harbour Park with the Helier Skelter their favourite ride. It is by the sea so they can have a swim or paddle as well. Parking can be busy but plenty of places, and then fish and chips too!
Read less",sea swim paddle well,sea swim paddle,"['sea', 'swim', 'paddle']",BeachFac
358,9652,Littlehampton,4,"Great day out When my grandchildren come to stay i find this an excellent place to go. If you buy the unlimited wrist band they can amuse themselves for hours and it doesn't cost the earth.
Read less",buy unlimited wrist band amuse hour not cost earth,wrist band amuse hour,"['wrist', 'band', 'hour']",Walking
365,9660,Littlehampton,4,"Fantastic First Visit We visited Harbour Park on a complete whim after finding ourselves with a free day whilst holidaying nearby, and were very impressed. We had planned to spend a couple of hours there and go home for lunch, but ended up staying nearly until it closed! We found a large variety of rides, and thought it was great value - free entry, and £20 for unlimited rides which our 10 and six year old certainly got their moneys' worth out of! Staff were friendly and helpful and the whole place was very clean.

I would have expected the whole park to be a no smoking area, or for there to be a designated area near the entrance, as a number of people were smoking close to queues which was off-putting. My only other comment would be that something outdoors for little ones would be helpful, like a sandpit or some sort of outdoor softplay area. There is indoor softplay but you can't be in there with a little one if you need to watch older ones outside. After discovering he didn't like the spinning barrel ride my poor one year old just had to stay in his pushchair and watch everybody else have fun all day.
Read less",would expected whole park smoking area designated area near entrance number people smoking close queue ofputting,entrance number people,"['entrance', 'number', 'people']",Parking
366,9661,Littlehampton,5,"Lovely arcades Best arcades i've been to in a seaside resort, state of the art equipment, good value prizes to win (you can win a Littlehampton Harbour Park teddy for 500 tickets) amazing place, I certaintly want to return!
Read less",lovely arcade best arcade I seaside resort state art equipment good value prize win win harbour park teddy ticket amazing place certainly want return,harbour park teddy ticket,"['harbour', 'park', 'teddy', 'ticket']",Parking
370,9672,Littlehampton,5,"Amazing day! I took my 4 year d nephew here yesterday and we had an absolute blast. We stayed pretty much the full 11-6 opening hours and used the £18 wristband (purchased online) with that i also received a stamp to go on rides with him for free as he is under 1.2m (by quite a bit, I reckon you could use this until they're almost 6yrs). As he was under 1.1m the only ride he couldn't go on was the big swing, aside from that everything was open to him, either in his own or with me sat next to him. I don't know if it's because it was inly the Easter holidays and not the summer yet, but it wasn't heaving as I had expect it to be, we didn't really queue at all, just waited for one ride to finish before jumping in to the next. The staff were lovely, he really enjoyed the drivable boats and the staff looking after them were really involved and helpung the kids move around and chase them, it really makes a difference (especially after 7 hours in a park 1:1 with a 4yr old, it was nice to let someone else engage with him while i guzzled haribo on the bench for sustenance!) The log flume was fab, but before you go on go to the photo booth next to it and buy a poncho! I didn't realize these were available until we had done 4 consecutive trips on it and were soaked through.... Photo booth sells pics from both the log flume and the caterpillar rollercoaster (also a big hit with him, and one go on it is actually 3 times round, so if you're buying individual ride rickets its decent value.) The soft play was fab, it's also included in the price of the wristband and includes a small under 3's area. I managed to leace him in there for well over an hour while i dried out (log flume) and drank tea (1.70, very nice), it has ball canon things which the kids fill ip with foam balls and blast around, looked like a really popular part of it. The whole soft play area was a really good size, and the entrance is staffed but you still need to keep an eye as they can't possibly monitor all the kids and who their parents are ( i just sat facing the exit and hoping he stayed put!) 2 big arcade style areas in the 2 buildings, plenty to do and crucially, lots of 2p machines with little stools for standing on (nice touch). The park itself is also dog friendly (I assume not inside though..) and its right in the beach so its ideal for a full day out if you don't want to stay glued to the rides as we were. I will be 100% returning!
Read less",not realize available done consecutive trip soaked photo booth sell pic log flume caterpillar rollercoaster also big hit one go actually time round buying individual ride rickets decent value,pic log flume caterpillar rollercoaster,"['pic', 'log', 'rollercoaster']",VisitExp
372,9673,Littlehampton,5,"Brilliant Our first visit of the year and as always a great day.
Staff are always extremely helpful and friendly.
They are always amazing and accommodate our needs with our daughters special needs.
Thank you harbour park
Read less",always amazing accommodate need daughter special need,amazing accommodate need daughter,"['accommodate', 'need', 'daughter']",Kids&PlayArea
