,Name,Category,Town,Type,Contributions,Title,Review,Date,LocCode,Cuisine,Score
4,Premier Inn Arundel,Accommodation,Arundel,Hotel,114,Night awayv,"We have stayed here before and I had an interview in Arundel so my husband and myself took the opportunity for a night away
Smooth check in and also early check in
Nice large room very quiet considering it’s on a main road
Beefeater attached with separate review
Great stay
Read less",1.0,2.0,0,0
213,Butlins,Accommodation,Bognor,Hotel,40,Christmas ,"Just got home a few days ago from our first Christmas away from home and have to say it was a great time!! I was concerned it wouldn't feel like Christmas but no chance of that happening! Everyone makes a huge effort there to keep the Christmas spirit going the whole time and the extras like the selection boxes, reindeer food and table cloth and crackers in the room were just so lovely.

We stayed in one of the oyster bay apartments which is totally adequate for us, there was 5 of us (2 adults, 2 teenagers and 2 year old) so we had three bedrooms and plenty of space. It's not the Ritz but I didn't pay for that so dont expect it! Was comfortable and clean. The showers are very small but we all managed just fine.

The shows were brilliant, especially the panto on boxing day and we love the new pool!

Thank you butlins for a great time!
Read less",4.0,2.0,0,0
1,Norfolk Arms,Accommodation,Arundel,Hotel,19,"Friendly staff, clean rooms, breakfast needs some work","The Norfolk Arms is perfectly situated within reach of just about everything in Arundel. The staff there couldn't be more friendly, welcoming and accommodating. My room, a single, was clean and well appointed, although the pillows were rather uncomfortable - one was very thin and they were both a bit hard. A fan had thoughtfully been provided to deal with the extremely hot weather. The problem with the breakfast was that the ""vegetarian sausage"" was in fact a roll of mashed potato and carrot pieces, rather than a Quorn or soya or even seitan substitute. As the vegetarian breakfast came with hash browns but only one poached egg, this made it very potato-heavy and protein-light. (The standard ""full English"" has both sausages and bacon.) The young serving staff at breakfast were very pleasant and helpful.
Read less",3.0,2.0,0,0
257,Avisford,Accommodation,Arundel,Hotel,11,Very nice stay,"Had a very enjoyable stay. Very nice deluxe room, very comfortable bed. Clean. Very nice breakfast. Staff very friendly & efficient. Very nice comfortable bar area. Lovely outdoor seating area. Lovely building in lovely grounds. Easy access to Arundel & other places of interest. Will definitely stay again.
Read less",2.0,2.0,0,0
129,Travelodge Fontwell,Accommodation,Arundel,Hotel,20,Comfortable stay friendly and efficient staff,"Normal Travelodge, comfortable and clean, shower worked well. Receptionist was really helpful and cheerful. It was slightly difficult to find the place, it would help if the entrance were signposted better.
Read less",1.0,2.0,0,0
29,Foxwood ,Accommodation,Arundel,AccomOther,354,Fantastic but one negative.,"We stayed as a family of 4 in August 2019.

Check in was super quick and easy and our pitch was huge and easy to get our stuff to with the provided whellbarrows. The chap who checked us in was super helpful and a real example as to what hospitality should be. This pitch was on the right as you go down the track and as far back as you can go from the kids rope swing.

We truly loved almost everything about this site, clean showers, nice and quiet neighbours and all the other plus points previously mentioned in others posts.. But! There is considerable road noise.! We arrived on a Sunday and there is a race track not far away that didn't help but I think the bulk of what we were listening to was motor bikes on the A27?

It did quieten down pm but it woke me about 5am the following day. It sounds odd but if you pitch to the left of the path, closer to the road, it is quieter due I think to a hill that deflects the road noise.

Would I go back? Yip absolutely but I'd take an ear plug.

In saying all that my 10 and 18 year olds slept like logs.

Beautiful pitches and a great find. Well done Fox Wood as the stuff you can control is done exceptionally well.",3.0,2.0,0,0
131,YHA,Accommodation,Littlehampton,AccomOther,18,Great location,"This is a fairly modern, small sized hostel with only a few rooms (max occupancy of 4). Excellant location at harbour side, on first floor above tourist info centre. Very quiet and piecefull. Staff very friendly and helpfull.",3.0,2.0,0,0
181,Rustington Manor,Accommodation,Littlehampton,Hotel,15,Staying here whilst going to family funeral,"Erm clean enough but wouldn't go back, breakfast buffet wasn't refilled cooked breakfast wasn't great either. Hotel and greeting needed a big gulp of energy.
If this was a treat I would have been more than disappointed.",3.0,2.0,0,1
351,Butlins,Accommodation,Bognor,Hotel,3,"""carefully curated to fit in with your tot’s routine"" - yeah right","We took our 18 month year old daughter to Butlins last weekend. It was booked as a JUST FOR TOTS weekend, which was advertised as being 'carefully curated to fit a tot's routine', and that there was no need to worry. It was set up to allow for 'enjoying quality time with your mini-me's'.

On paper, this seemed to be true. Amazing acts such as the Teletubbies during the day and Justin Fletcher in the evening which our little one loves made it seem like a no brainer. We took up a variety of offers and ended up with a 'sort out your own food but everything else is covered' total of around £450.

When we got there, the weather was a bit lousy. No one can do much about that. The staff as we entered the parking were happy and helpful, as were the staff on reception who let us know about the activities on whilst we were there. This was when we were told that even though Justin had a couple of shows on, we HAD to take the 7 o'clock showing - which is normally bed time for our little one so already not QUITE fitting our routine... but it was a holiday so we let that slide.

We then proceeded to our Seaside Apartments which we had paid extra for as they were sold as ""Perfect for families"". What they don't tell you is to enter the apartments (if you don't have a ground floor one), you first have to go up a metal spiralling fire escape to get to your floor. We looked around and saw countless families struggling to the 1st and 2nd floors with kids under arms, prams, suitcases and more. Not what I could ever describe as kid-friendly, and more than that what I WOULD describe as unsafe. Due to the bad weather these metal steps were really slippy and at several times over the holiday we had some near slips - particularly when bringing the heavier luggage/prams in and out of the apartment.

Inside the apartment itself was of OK quality, and the living room was comfy. The twin bedroom which we'd specifically booked for a travel cot however was not big enough for one. We ended up having to completely re-arrange all the furniture in there ourselves including stacking some bedside tables to make JUST enough room for the cot.

We also unfortunately were unable to find a room with a bath and there was only a shower - although we were told toddler baths were available to rent from Butlins when we got there. When we went to enquire about this however we were told these were more for tiny babies and would not fit our 18 mo. Therefore an awkward standing-in-the-shower-clutching-the-little-one was needed.

We had arrived on a Friday and saw there was a showing of the Teletubbies in the pavillion starting in 45 minutes - not many people had turned up to the resort for the weekend yet so we strolled down and it seemed relatively quiet... until we got to the central stage. Parents and their children including prams, bags and all sorts had already crowded the front of the stage and meant that our 18 mo had to stand with us at the back near the cafe. This was 45 minutes until anything else happened on the stage - there was no pre-entertainment to entertain the under 5s. If you have a little one of this age you might well know that keeping their attention for this long is near impossible and often results in a cranky child by the time the fun started.

We hoped this was just a one off, but unfortunately this was just the beginning of a heap of problems for us.

The next morning we were up and out of the room just before 9 and had read there was a Toddlers Relaxing swimming session where in the brochure it stated slides etc would be turned off so it was as relaxing for young children as possible.

However when we arrived we were greeted to a huge queue where someone near the front told us they had been waiting 45 minutes as they were operating a one-in-one-out process to get families in to the pool. There was a viewing window of the pool and it looked like a scene from 28 days later there were hoards of people. Parents were forced to congregate standing at the sides of the pool whilst their kids got to put their feet in, but more than that, all of the slides etc were fully operational meaning 4-5 year olds were running up and down and making it extremely difficult for families with smaller children to enjoy themselves. Because of this we bailed on the idea and left the swimming pool.

There were some elements of the pavilion that did operate well. The small rides behind the main stage such as the mini rollercoaster etc had quick queues and the staff did well to always ensure kids were strapped in properly. We ended up spending a good amount of time on here.

We attempted to get in to the soft play area too. As my daughter is only small we were restricted to the left half of the soft play specifically reserved for small children. However this part of the soft play had no ramps, or even steps. The only way to the upper level was through some holes leading to higher up shelves. This was NOT something that most 2 year olds were able to climb on their own, so parents were all heading up it as well to help. However this meant there was a huge blockage of kids ascending/descending down the one way up or down (apart from a slide) and it genuinely took us 25 minutes just to get up the first part of the soft play. Once up it was one level with a slide but also some steep drops that weren't safe for young kids anyway. We went down the slide and left the soft play too.

I understand some people may read this and think I'm moaning but this was for us, an expensive holiday, which we only took up because it was advertised as being a stress free curated holiday built around toddlers. Our daughter spent a huge amount of this trip agitated at having to wait in queues and not understanding she couldn't just run off as we'd lose our place for certain things.

The worst of this was of course the main event of Justin. As already mentioned we had the 7 o'clock showing allocated to us. On the back of the ticket it noted that doors opened from 6 o'clock. It also stated very clearly there would be no queue jumping (even to the point they wouldn't allow someone else in your family to hold a place for the others). But how bad could the queue be? We were in the pavilion at 4.30... and the queue started. These earlybirds were ready to wait in a queue for 1 and a half hours to secure a seat... and then wait an additional hour sat on a chair with no stage entertainment and keep their kids busy. This might be possible with a 4/5 year old you can pass an iPad to, but not with an 18mo. There was no way we could possibly queue for that sort of time with her, and instead we got to the queue at about 5.55. The queue was built up half way around the pavilion and security staff were having to traffic people the right way. We were surrounded with parents holding squirming kids and often having to chase after them, come back to the queue and explain they weren't queue jumping.

We eventually got in at about 6.20 - 40 minutes before the show was due to start. ALL the front seating area was full. Staff were on hand to direct you to empty seats but naturally these were all at the back, and the ones we were sent to were situated behind a huge pillar. We could just make out the stage and as this was meant to be a fun interactive sing/dance along experience for my daughter I was gutted that we were doing it from practically the back of the room.

A crowd next to us had 'reserved' a long string of seating for their friends by putting bags/coats on them and refused to relinquish any for our daughter to be able to see the stage without constantly switching from either side when Justin went behind the pillar in our way.

The actual show was good - and I don't want any of this to come down to Justin's performance, or even the staff at the event. They were genuinely nice and tried to help.

However the overall organisation and I suppose sheer number of people they had crammed in was out of control. It meant that a good 50% of people in there were not getting the experience they wanted. Which may have been alright for the group of wasted dads sat next to us who weren't even facing the stage, but for us who had come specifically for our daughter, it was tragic.

On Sunday, we made the decision that this had been a disaster. Everyone was tired and cranky, especially my daughter, and we came home over a day earlier than we should have done.

I've never left a holiday early before, and I've definitely never felt relieved to be leaving one. But on this occasion it was the right thing to do. Unless something fundamental was to change in the way these weekends are booked/managed I don't think we will ever be coming back.
Read less",1.0,2.0,0,1
378,Premier Inn Arundel,Accommodation,Arundel,Hotel,60,A flying visit to Arundel,"Stayed one night while in the area for a 60th birthday party. Excellent, clean, tidy and the staff couldn’t do enough for us. Very friendly and a great location for visiting the area also convenient for the railway station.
Read less",4.0,2.0,0,0
38,Norfolk Arms,Accommodation,Arundel,Hotel,31,Horrific service ,"AVOID! Terrible service. We were barely greeted by the young man serving tables, when we sat down and asked for the table to be wiped down (it was grotty, full of empty glasses and ash), a cloth was chucked on our table and the waiter left. We then decided not to spend our money here and enjoyed lovely service and food elsewhere.
Read less",3.0,2.0,0,1
177,Swan Hotel,Accommodation,Arundel,Hotel,5,Sunday lunch,"Heard the news that this is the place for Sunday lunch in Arundel. Lunch was fine but accompanied by eye watering London +++++ prices for drinks. Raised it with manager who shrugged and was sorry about that ... hmm
Read less",4.0,2.0,0,1
75,Butlins,Accommodation,Bognor,Hotel,2,Needs uplift,"Last came to butlins in 2017. Was looking forward to seeing the new pool. Stayed in oyster bay in the silver apartment. On arriving at 4pm we got to our room to be told by the cleaner that she needed an hour! When the room was ready it was clear that no hoovering was done, there was hair all over the floor. The clothes airer was broken, the window latch was barely on and the toilet only flushed after about 10 goes. We paid almost 1000 for fri to mon and I feel robbed. Ocean drive was where we ate and although there was enough of a choice the food was cold. I witnessed various people hit there head on the balcony as it's very low down at the top of stairs. Unless your under 5'6 you better hope for a ground floor. Much preferred the old pool. New one is more for toddlers I feel and my 8 year old got bored very quickly. Drinks are expensive and decor hasn't changed at all. Pigeons flying around inside and pigeon poo on the floor. Its very very run down. Needs a total shut down and revamp.
Read less",3.0,2.0,0,1
25,Norfolk Arms,Accommodation,Arundel,Hotel,101,Great location with friendly staff,"Stayed for three nights on one of their special deals including a meal and entry to Arundel Castle. Staff very welcoming and the room in the outside courtyard was clean and very comfortable. Dinner was excellent but we were the only guests dining which at least meant very attentive service.
Hotel is in an ideal location in the centre of the town with all its facilities and a 10 minute walk to the castle. Breakfast was excellent, good coffee and an adequate selection of hot and cold food. A nice touch was the ability to order a bacon sandwich to take out.
Would happily return if in the area
Read less",3.0,2.0,0,0
16,Butlins,Accommodation,Bognor,Hotel,101,Great Fun,"I Traveled with two friends to an 80`S Music weekend,and it was great fun. All the People there were of the same frame of mind, just to really enjoy themselves. The line up of entertainment was exceptional. The choice of food outlets was great.
Read less",2.0,3.0,0,0
188,Travelodge Fontwell,Accommodation,Arundel,Hotel,1,Good value for money and a quiet stay!,"I stayed for two nights, walked into a warm room with a comfy bed, Fast food or a nice meal within walking distance. Very welcoming staff and a homely feel, Dulce was very helpful with useful info about whats around.
Read less",4.0,1.0,0,0
54,Shoreline,Accommodation,Bognor,Hotel,71,A little disappointed,"Our return to the Shoreline Hotel seemed much the same. The Nelson Suit is very comfortable and the sea view wonderful. Sadly, this time we had hot water problems. Warm tepid water was all we could get from the taps. After 4 visits from the on-site plumbers and eventually being told to run off gallons of water to get the water hot didn't really work. The bath water remained warm and the basin tap never really got to warm. One should not have to complain to Reception so many times. On the penultimate day the Shower would not work at all - absolutely no water hot or cold!! Strangely on the last morning (Monday) as we were ready to leave we got hot water out of the bath tap - phew, what a mess!
As we left we did stop to update Reception and they kindly offered to discount our next years stay.
The 70's music was a bit naff this year - no big singer or band. As for having two Comedians on the bill .... well that seemed a bit daft. It was after all a musical weekend. More cost cutting it seems. We noticed several areas where facilities were not up to standard. Hopefully this is just a momentary lapse and things will return to the good old days!
Forget the WiFi unless you are prepared to pay for it.
Read less",3.0,2.0,0,0
167,Foxwood ,Accommodation,Arundel,AccomOther,3,"Excellent, relaxing weekend at Fox Wood Campsite","We found Fox Wood Campsite to be very spacious with plenty of room between groups. It has a very relaxed feel and the kids loved helping move everything in the wheel barrows, and also loved the rope swing! The facilities were very good and it is very smoothly run and the owner was really helpful. We would go back.",3.0,2.0,0,0
236,Carlton Hotel,Accommodation,Bognor,B&B/Inn,415,Tea (almost) on the beach,"Lovely pot of tea, very reasonable at £1.50 for the pot. Sitting outside on the terrace was sunny. You can easily see the sea and beach. Friendly service. Nothing not to like. Just try it - sure you won't be disappointed.",3.0,2.0,0,0
254,Travelodge Littlehampton,Accommodation,Littlehampton,Hotel,6,Barely slept due to the awful mattress,"I have stayed here before and thought it would be nice to stay here as it was close to family, the service was average but the biggest problem was the bed, barely slept as it was uncomfortable and every time we moved in our sleep the squeak would wake us both up. I personally like to be able to sleep when I pay for hotel.. Terrible stay",1.0,2.0,0,1
201,Hangar Down,Accommodation,Arundel,B&B/Inn,164,"We just had a 2 night stay here in the lovely Duke room. From booking to checking out, Alison was friendly and welcoming. The bed and breakfast was clean and had everything provided. Our children loved the trampoline and playing football in the garden. The breakfasts were delicious and so much choice available. It was really nice to relax here and Alison's family were all so friendly. The walk into Arundel was easy to do as well from this bed and breakfast. Would definitely love to return here. ",First visit to this lovely bed and breakfast. ,4.0,2.0,0,0
235,Inglenook,Accommodation,Bognor,Hotel,11,Vegan Treat,"Wow what can I say, I took my Dad and 6 year old out for lunch, and as always we have an amazing meal.
I saw (on Instagram, go follow them) that Toni and his team have added another Vegan dish to the menu, and it is AMAZING, the best burger I have had in a VERY long time.
My daughter loved her nuggets and beans and being entertained by Nicky the Parrot!
Can't wait for the next visit to have the ""fakeduck""!!
Thanks Guys and Girls x",2.0,2.0,0,0
77,Avisford,Accommodation,Arundel,Hotel,211,Didn’t meet expectations,"We stayed this weekend to attend an event. We were welcomed and the checking in process smooth.

The hotel is near to Arundel and has extensive grounds.

Our room was well equipped but had an extremely noisy creaky floor!

We had several meals during our stay. There was a good selection of typical hot and cold options for breakfast.

However both our evening meals were unacceptable, and lacking In flavour, with over cooked or under cooked elements and the service was extremely slow.

Friday’s buffet was absolutely awful, watery bland ‘curry’, pasta, ‘stroganoff’ and the most basic of salad options and deserts.

Last night’s dinner service took over 3 hours as there were very long waits in between courses so we finished at 2240!! This meant that we lost an hour of our entertainment leaving guests disappointed!

The hotel doesn’t have any lifts which made it difficult with our luggage as we were on the second floor with a lengthy walk to our room (far from ideal for anyone elderly or with health issues).

Several areas are looking rather shabby with maintenance needed, new carpet, paint etc.

The staff were very polite and helpful throughout our stay but clearly just could not cope - there just weren’t enough on duty.

All in all we did not get the standard of stay you would expect of a 4 star hotel so feel disappointed.
Read less",3.0,2.0,0,1
330,Travelodge Littlehampton,Accommodation,Littlehampton,Hotel,1,Third rate hotel,"hugely overpriced
bedroom not made up,no soap in shower. Poor decoration,no bar, no restaurant only a vending machine.
Generally very very very bad value for the money. Although there was a revival on in Goodwood and bedrooms in the area were hard to come by there is no way an hotel of this standard should be allowed to charge £148.00 a night.",3.0,2.0,0,1
88,Premier Inn Bognor,Accommodation,Bognor,Hotel,0,lovely weekend break,"great place to stay but be aware if staying at weekend you need to book restaurant in advance as really busy.We had to eat in the ""pub"" but was the same food which was very good and potion sizes where ample.
Read less",3.0,2.0,0,0
72,Premier Inn Bognor,Accommodation,Bognor,Hotel,14,Shame,"Such a shame for a low rating having stayed at lots of Premier Inns with no problems. Beds are super comfy, staff of Premier Inn lovely and extremely helpful.
It’s a shame some noisy unruly guests ruined our last night and some rude staff at the adjoining pub/restaurant ruined our overall experience.
Read less",3.0,1.0,0,1
224,Rustington Manor,Accommodation,Littlehampton,Hotel,1,NOT fine dining AVOID AVOID AVOID,"We dined here 4 weeks ago on a Saturday evening.
The menu consisted of a variety of 5 choices of meals one being veggie so we both like meat so this was reduced to 4 meals! The waiter then told us that the fish dish was not available!! down to 3 choices now and that there was no more rump steak but we could have Sirloin.
Well better cut of meat so that is what we ordered.
This was the toughest piece of meat we have had and a total waste of money.
ALL there meals come with chips, (ALL OF 5 when available) and they call it this FINE DINING!!
We decline having deserts or coffee but the waiter insisted we spoke to the manager.
The manager was called and I asked about the wording of 'FINE DINING' he said they was going to remove that and offer a new menu which would be in 2 weeks and took our number and said he would phone us when this NEW menu was available for us to sample free of charge as a gesture of good will as our evening had been spoilt.
The venue is pleasant, and apart from us there was 6 other people??? on a Saturday night speaks volumes.
The Lamb pub is very close with far better menu and far better quality food
We are still waiting for the call from the manager.!!!!! AVOID!!!",4.0,1.0,0,1
90,Butlins,Accommodation,Bognor,Hotel,7,Poor accommodation ,"So sad to have just checked into butlins for 6th time over 5 years to the ‘gold’ accommodation - seaside apartment.
Really poor quality accommodation - really disappointed. Recommend go for hotel every time.
Read less",4.0,2.0,0,1
190,Butlins,Accommodation,Bognor,Hotel,10,Poor,"The new Splash pool changing rooms are absolutely disgusting. The floors are covered in gunk. There was a soiled nappy trapped between the baby changing unit and the wall in our changing unit - woman at front desk seemed utterly uninterested. I was expecting Splash to be something better than, or at least on a par with Centre Parcs - it is nowhere near that level. Woburn Forest which was opened 5 years before this over-hyped Butlins water park is just head and shoulders above it. Main buildings are very tired and worn looking. We had a photo shoot at Splash and after we had walked around the pool areas taking photos were told to return the next day, I explained the next day we would be about 200 miles away, and asked why I wasn't explained that beforehand, girl shrugged and said contact guest services. Went to guest services, closed. Phoned them the next day, then told to phone photo booth, several calls later was told I couldn't have them due to GDPR. Contacted customer service ... not interested in my issue, nor my time being wasted like this, and when I said that they should tell customers that if their photos were taken after 4pm, that they had to be in the resort in person the next day to collect them (ie not to waste our time as customers in a fruitless excercise), customer service respond, and I quote 'your comments regarding this being communicated to guests will be kept in mind for future discussions'. That they will only 'keep' this 'in mind' for 'future discussions' makes me think someone needs firing in their customer service department, and as for my wasted time just an empty word 'sorry', not even ""oh hey look you wasted part of your day and an hour or so trying to get your photos by contacting guest services, etc, as the girl advised you to do, here's a 5 pence voucher to buy a sweetie"". I got nothing for that, just ""Yeah, sorry about that"". If you think that is customer service, honestly you need to have a massive rethink.
Read less",3.0,2.0,0,1
143,Bailiffs Court,Accommodation,Littlehampton,Hotel,71,Amazing Experience,"We (3) went for afternoon tea (reservation recommended). The hotel is too beautiful to describe- so much history. Our server brought a tray of sandwiches, which included smoked salmon, cucumber, egg mayonnaise, ham and tomato. He also brought 2 tiers of cakes, which included scones, passion fruit mousse, cheese cake, chocolate gateau, almond and cherry cake, clotted cream, blackberry jam and lemon curd. A choice of tea or coffee.

The whole experience was absolutely amazing and our server certainly added to the experience. We only wish we asked his name.

£100, plus tip
Read less",3.0,3.0,0,0
337,Travelodge Littlehampton,Accommodation,Littlehampton,Hotel,7,Disappointing,"An hotel in need of a deep clean and freshen up. Do not expect luxury but this hotel fell far short of acceptable. Very unpleasant stale smell in room. Bath badly stained. Large area of room empty, possible convertible coach removed.",2.0,2.0,0,1
130,Travelodge Fontwell,Accommodation,Arundel,Hotel,2,Old and tied .Needs overall,"very outdated . Worn and tied. Very surprised how the room was so basic to other travelodges and premier inns I have stayed in. Especially it was not cheap to stay for 1 night. Glad it was only me using the room.
Read less",3.0,2.0,0,1
353,Inglenook,Accommodation,Bognor,Hotel,46,Lunch in the Beautiful Garden,"My friend and I had lunch in the garden today, with my dog. The gardens are very pretty and we moved a table so I could sit in the shade and my friend in the sun. The staff were very friendly and helpful. They brought menus out, took our orders, and waited on us. The food was excellent and neither of us could fininsh our meals. I had the burger and my friend the fish goujons sandwich. We will definitely be back.",2.0,2.0,0,0
161,Norfolk Arms,Accommodation,Arundel,Hotel,140,Just a beer,"Popped in for a beer to the bar, had a great chat with George who was really friendly and helpful and an awesome choice of music
Not a very busy night but well worth popping in for a beer if in town. Has a hotel too, apparently!
Read less",2.0,2.0,0,0
1099,Oyster Catcher,Food,Littlehampton,Pub/Bar,88,Very nice pub fare and ale,"This is a franchise establishment with the theme of Bird Names. Bar and serving staff were extremely pleasant, bar, restaurant and toilets very clean. The ambience in the bar was cosy and romantic, the IPA (Irish Pale Ale) was stellar and my wife enjoyed a red wine from the generous wine list. Our meals were very tasty, hot and prompt and the wait staff always seemed to appear just as we were looking for them. I would recommend this Pub",1.0,3.0,British,0
1294,Fino,Food,Bognor,Restaurant,169,Fantastic,"We chose here to celebrate our daughters 21st Birthday, and it was fantastic. We loved the bar area, the restaurant and food were brilliant. Staff were really friendly and helpful. We stayed drinking and chatting in the bar after our meal and we couldn't fault it. I would only say, from a personal point of view, it would have been nice to have some background music.",2.0,2.0,Italian/Pizza,0
583,Moathouse Café,Food,Arundel,Café,33,Awesome eating,We have been to this date several times and each time it has been great service and food. If we are anywhere near Arundel we always go to the Moathouse. It's worth a visit and once you've been I'm sure you will be back.,4.0,2.0,British,0
411,Oyster Catcher,Food,Littlehampton,Pub/Bar,64,Saturday afternoon drinks ,"Having been here before and had some bad experiences with eating, we thought we’d be safe popping in for a drink. Nope.
Had to wait 10 minutes to be served. And it was empty. To top it off the person that served us was talking to a table all the time we were waiting, in eye shot of the bar! Poor.",1.0,1.0,British,1
794,"The Windmill, Harvester",Food,Littlehampton,Pub/Bar,5,Such a disappointment,"As our local harvester has shut down I was looking forward to dinner there. On entering staff were very friendly. Shown to table and placed our order. No mention of the stuff they didn’t have. Salad bar only had peppers, onions, carrots, sweet corn, olives and coleslaw. There was a note by the salad bar to say they had delivery problems but would have been nice to know before ordering them the unlimited drinks only had diet drinks or rwhites lemonade. None that I drink and again not mentioned only a note above the say only those were available.
The food we did order was lovely but the experience wasn’t the best.",3.0,2.0,British,1
1229,"The Windmill, Harvester",Food,Littlehampton,Pub/Bar,27,Shocking,"I have given this place chances across 7 years of travelling to Littlehampton to visit family but have never had a decent meal.

This one actually topped it though. Went for breakfast - took 40 minutes for our cold breakfast to be brought to us.
Mine was freezing cold and the plate swimming in grease so I returned it and asked for it to be taken off of the bill. No problem.

When we went to pay, my husband explained the issue to the member of staff and that we have had previous issues to which her blasé response was ""well, I recommend you stop coming back then. It's just as bad to work here"".

Explains everything.",3.0,2.0,British,1
240,The Mezze,Food,Bognor,Restaurant,33,Fantastic,"Very friendly and helpful staff, food fantastic no complaints, will visit again just what Bognor needs",1.0,1.0,Other,0
356,Victoria Fish & Chips,Food,Bognor,Fast Food/Takeaway,8,Very tasty Cod and Chips,"Since my favorite Fish and Chips restaurant has been burned due to the storm of Angus, I was not able to find a really nice fish and chip shop in Bognor. Just this afternoon, I found the Victoria Fish & Chips in the middle of the town (just at the rail station).
Well, I would say it is the best in Bognor at the moment. Fish and chips, both were very fresh and just right fried (not swimming in the oil), really tasty, good portion and take away IN A BIO BOX!!! (My labor of love the plastic-free lifestyle.) Cheaper than on the beach. Yeah!
Additionally, all the area was very clean and two men were serving in nice clean clothes.",3.0,1.0,British,0
1293,The Mezze,Food,Bognor,Restaurant,15,5 Stars,"What a fabulous restaurant, the food was delicious, the service excellent, it has a great atmosphere and is very reasonably priced, I couldn't recommend it more.",2.0,1.0,Other,0
274,"The Windmill, Harvester",Food,Littlehampton,Pub/Bar,4,Will never go back,"We went to this harvester as always had good meal there.
1st of all they took ages to take our order even though not at all busy. 2nd got my steak wrong 3 times. 3rd forgot drink order and I had to ask after nearly 10 mins of waiting. 4th coffee was cold and stewed. 5th waiter seemed more interested in chatting and messing around with his colleagues than serving",3.0,2.0,British,1
716,Establo Lounge,Food,Littlehampton,Pub/Bar,213,Perfect retreat ,"So love coming here. Food great. Drink great but best of all it’s the catchup with Callum

The atmosphere is great. Even when the sun is being annoying and not shining.

",2.0,1.0,British,0
923,Pub & Kitchen,Food,Bognor,Pub/Bar,3,Don't eat here,"Presently stopping in butlins, everything has been good apart from the bar and kitchen. Expensive food and when arrived 2 meals were okay and the other 2 were awful. The burger was extremely dry and hard, the garlic bread had been sat out for around20 minutes and was burnt and when we told them of the problem they only offered a free pudding even though we never had our main. Would not recommend eating here. The beachecomber was much better service.",3.0,2.0,British,1
362,Cockburns Tea Rooms,Food,Arundel,Café,392,5 star,"Quality location and warm welcome on arrival. As we arrived we were informed that window seats were avaialbe in the upper floor which was very helpful. Traditional style setting in the front room and more contemporary in the rear room so should suit just about anyone. The quality of the service was excellent, the tea and the cakes/scones were excellent and it was a dog friendly establishment. Certainly a place we would return to if in the area again anytime soon.",4.0,2.0,British,0
485,Osca's,Food,Littlehampton,Restaurant,8,Very bad,"We went for lunch after reading good reviews about this place,we ordered cod and chips when it arrived the fish looked very flat,I waved to the waitress and said I order cod she said that is cod in a very rude manner,halfway through the meals I said to my wife you know what this fish is basa not cod she said that's what I was thinking unbelievable this place.",3.0,2.0,British,1
790,Moathouse Café,Food,Arundel,Café,1,Not good- very over priced and food terrible,"Ate there today, it’s everything I dislike about tourist town cafes overpriced for really poor quality food, it’s not good and as a family £29 for lunch seems reasonable but when you don’t eat most of it as so poor not good. please don’t waste your money try somewhere else",2.0,2.0,British,1
499,Ristorante Al Mare,Food,Littlehampton,Restaurant,29,Far exceeded my expectations,"We were a party of four lunching here today for the first time. We all thought it was truly excellent.
For a starter I had calamari - the best I can remember - cooked in a light fresh batter. If you've been shunning this dish of late because it always tastes and feels like tough rubber, then please give it another chance here. It was faultless. To follow I chose the fish of the day - a fillet of sea bass. It was perfectly cooked and served on a bed of french beans and asparagus. Upon request a few saute potatoes were added to augment the dish. For pudding I had one of three homemade fruit pies on offer, served with ice cream or cream. To accompany the fish I had a glass of Sicilian dry white wine., which had lots of flavour and no harshness.
All-in-all it was a fabulous, tasty meal - leaving one feel nicely fed but not stuffed - and all for a very reasonable price. The quality of the cuisine could have come from a kitchen charging 50% more - if indeed you can find it.
Why the restaurant wasn't bursting at the seams, I really cannot understand. It deserves to be rammed. I hope to return soon.",2.0,2.0,Italian/Pizza,0
263,Fish & Chips,Food,Bognor,Fast Food/Takeaway,56,Questionable practice of 'Cash only',"No indication it was 'cash only', and why - a family of six to pay cash is highly irregular in this day and age. This was a meal inside the establishment and with bills that don't even have the shop name on, would question this practice. Let's hope tax is paid in full by the owner and not a repeat Pret A Manger practice.
Gherkins at £1 each was an absolute disgrace. We were assured they were huge and indeed the ones in the jar on the counter were. Whereas, we were served gherkins no more than 3"" in length and 1"" in diameter tops and were charged £1 each. Rip off Britain certainly applies here.
Fish was freshly cooked and ok but chips were dry.",1.0,2.0,British,1
625,Knights Table Steakhouse,Food,Arundel,Restaurant,162,Terrible service,"They may have a system they like but that does not equal good service. We were lucky to have a table due to a no show, but then it went downhill. The waitress told us she would take our drink order after she clears the next-door table (??) really? what is more important the newly arrived customer or a table that needs cleaning? We told her we knew what we wanted to order, a carvery, which in theory is quick because all the food is there ready... wrong, she said there is a system whereby they take tables to the carvery to be served so that there isn't a long queue, and it would take max 10 min. she got our drinks order and we waited 40 min, looking at them several times and asking twice. At one point we thought of leaving but every time she said you will be next. The carvery was average, had much better in local pubs, so all the paraphernalia with dressing up is really for the show and maybe for kids, but if you are hungry don't bother, there are many other places to go with much better service and cheaper food.",3.0,2.0,British,1
